1815;50.045020844896;21.636682193499;powiat ropczycko-sędziszowski
1410;52.190986374439;22.776460456202;powiat łosicki
1418;52.002985337937;20.949459139008;powiat piaseczyński
1425;51.386562597076;21.115414640448;powiat radomski
1427;52.827215710011;19.683395067554;powiat sierpecki
1430;51.258678888621;20.880957120904;powiat szydłowiecki
1433;52.441549942596;21.907007469031;powiat węgrowski
1404;52.369251679377;19.638906448641;powiat gostyniński
1405;52.075929789909;20.609004087845;powiat grodziski
0611;51.851938912183;22.233726566565;powiat łukowski
0618;50.513151550735;23.480222972988;powiat tomaszowski
0662;51.138335278061;23.475239675439;powiat Chełm
1202;49.944944962159;20.657179238004;powiat brzeski
1261;50.045222852598;19.974591009468;powiat Kraków
1020;51.914443774159;19.47344673153;powiat zgierski
0807;52.397353719684;15.058754082828;powiat sulęciński
1810;50.06794382563;22.248602063024;powiat łańcucki
1601;50.767863094191;17.452499485803;powiat brzeski
3018;51.436454106759;18.034386426513;powiat ostrzeszowski
1463;51.41011777409;21.165554864015;powiat Radom
1438;52.002083088967;20.428786240693;powiat żyrardowski
3016;52.720027853197;16.853896524221;powiat obornicki
3013;51.883757078444;16.515950448318;powiat leszczyński
1464;52.162783152529;22.265163927072;powiat Siedlce
3063;51.843942200236;16.57337107219;powiat Leszno
3009;52.241613164323;18.778367986388;powiat kolski
2062;53.17598561636;22.05617260659;powiat Łomża
3022;51.64499512964;16.971499044581;powiat rawicki
3023;52.317855519153;17.918325567912;powiat słupecki
2206;54.02000581664;18.002840891694;powiat kościerski
2613;50.832161899128;19.930925233921;powiat włoszczowski
3214;53.362108669676;15.247835875706;powiat stargardzki
0264;51.131825234663;17.001768448449;powiat Wrocław
2806;53.990998106799;21.871799487188;powiat giżycki
2810;53.784477336701;21.368925078457;powiat mrągowski
0203;51.659734507152;16.07071148988;powiat głogowski
3202;53.163859602274;15.603926248501;powiat choszczeński
2475;50.279985729429;19.198064542043;powiat Sosnowiec
2412;50.111652556113;18.392468117049;powiat rybnicki
2466;50.300766626852;18.65869337763;powiat Gliwice
2468;50.201674148136;19.307385710019;powiat Jaworzno
0407;52.774265739748;18.275118062106;powiat inowrocławski
0402;53.281003876546;19.402332093416;powiat brodnicki
0418;52.768030916941;19.061735311794;powiat włocławski
0409;52.65576344183;18.051243660518;powiat mogileński
0463;53.019281783796;18.635468385676;powiat Toruń
0416;53.575604768059;17.945695514914;powiat tucholski
2411;50.077621127355;18.261516583457;powiat raciborski
2403;49.749904005232;18.79201856739;powiat cieszyński
1807;49.640046201542;21.736304421445;powiat krośnieński
1607;50.456595771457;17.373500768849;powiat nyski
0261;50.869761262717;15.712198773917;powiat Jelenia Góra
0225;51.073702075304;15.06590571153;powiat zgorzelecki
1422;53.145440624795;20.96720496971;powiat przasnyski
1461;53.080837622651;21.594891892436;powiat Ostrołęka
3025;52.171146731549;17.334054157169;powiat średzki
3006;51.996664822973;17.514139001555;powiat jarociński
2262;54.502721472063;18.481132605232;powiat Gdynia
3263;53.89585555975;14.282457701403;powiat Świnoujście
0207;50.744365741883;15.99208933568;powiat kamiennogórski
1008;51.657298944109;19.274702981198;powiat pabianicki
2006;53.384267119065;22.014553262192;powiat kolneński
1661;50.686375848146;17.910982341407;powiat Opole
2815;53.765618147167;19.964461119123;powiat ostródzki
2471;50.3737046422;18.970840837183;powiat Piekary Śląskie
1813;49.805059427263;22.526429841308;powiat przemyski
1862;49.783367211703;22.769443346622;powiat Przemyśl
1432;52.260356246486;20.62376651842;powiat warszawski zachodni
0619;51.462389553185;23.428518869992;powiat włodawski
0663;51.227805578994;22.557362367259;powiat Lublin
1201;49.918731904755;20.42841702992;powiat bocheński
1263;50.016319401153;20.973585992356;powiat Tarnów
0812;51.835639498851;16.14969836394;powiat wschowski
0801;52.75946371173;15.106568948712;powiat gorzowski
0803;52.472199636188;15.680885899709;powiat międzyrzecki
0805;52.340211135148;14.866486244747;powiat słubicki
3015;52.349215761909;16.137527746144;powiat nowotomyski
3028;52.800545687311;17.245433107083;powiat wągrowiecki
2003;52.76811329426;23.023555153435;powiat bielski
2012;54.106497237395;22.913489231671;powiat suwalski
2212;54.377879692475;17.149208027735;powiat słupski
2607;50.922417681361;21.392516211893;powiat ostrowiecki
2610;51.086643760953;20.821353095951;powiat skarżyski
2205;54.321466618331;18.074951632842;powiat kartuski
2404;50.799502835061;19.345711916878;powiat częstochowski
3212;53.100966310316;14.910956619559;powiat pyrzycki
2474;50.315477449425;19.029842715355;powiat Siemianowice Śląskie
2861;54.21146680256;19.45113709691;powiat Elbląg
3206;53.136973503781;14.627549005465;powiat gryfiński
2462;50.363430517541;18.876964107939;powiat Bytom
0226;51.085719233357;15.885582062085;powiat złotoryjski
0223;51.028215484872;16.975520339204;powiat wrocławski
0213;51.51915100972;17.3100962399;powiat milicki
0211;51.404659870299;16.232416678571;powiat lubiński
0408;52.827115521856;19.261905418653;powiat lipnowski
0419;52.815709435057;17.753027146764;powiat żniński
0411;52.556321014155;18.590539927311;powiat radziejowski
0410;53.081124797739;17.587141619545;powiat nakielski
2801;54.186057140474;20.71619107468;powiat bartoszycki
2417;49.65104111679;19.199920205524;powiat żywiecki
2011;53.546312155675;23.215488483798;powiat sokólski
1805;49.703926824324;21.47549726519;powiat jasielski
1602;50.147629093731;17.786439884503;powiat głubczycki
1210;49.559294389441;20.742216007046;powiat nowosądecki
0862;51.927836386599;15.528533409151;powiat Zielona Góra
1063;51.95837632614;20.16835435612;powiat Skierniewice
0810;51.598250250184;15.413324653807;powiat żagański
